词语,情感分类,强度
忷,生气,3.0988484950863313
恟,生气,3.439803146122025
板脸,生气,3.0679527843041203
板面孔,生气,0.6754846670883161
板起脸,生气,2.3355515317476048
板着脸,生气,2.3664361053700675
板着面孔,生气,3.466320776290939
暴跳,生气,4.6637620492850616
暴跳如雷,生气,2.7588163689676866
贬斥,生气,4.134384664656684
变脸,生气,6.776693923522464
勃然大怒,生气,2.803189855595894
驳难,生气,3.7127902075752726
驳议,生气,1.823902640320609
诧,生气,2.270491572689256
嘲骂,生气,2.4679952185998673
嘲谑,生气,4.389322669456612
耻骂,生气,7.569455368601346
斥,生气,4.0167341636586755
斥骂,生气,6.927791131913282
斥责,生气,3.352679337600807
仇恨,生气,5.711215995123463
仇视,生气,3.7850142424549986
臭骂,生气,1.9479056492718874
出气,生气,7.092295499195014
吹胡子瞪眼,生气,4.711499870811827
戳壁脚,生气,4.423418969777555
戳脊梁骨,生气,4.130982883549082
刺打,生气,6.530478395348236
蹿火,生气,0.7065681921256131
打骂,生气,3.272144655877768
大动肝火,生气,4.551441216917462
大发雷霆,生气,6.5796446868233165
大骂,生气,4.818812396275711
当头棒喝,生气,-0.3332190376943194
瞪眼,生气,2.3491346949121805
动肝火,生气,5.45616340948295
动火,生气,5.18084262306469
动怒,生气,0.14624208431638896
动气,生气,2.497126395850075
斗,生气,3.793521429174961
斗争,生气,2.8913130905234787
发狠,生气,3.059672986366651
发火,生气,2.6682690030922815
发急,生气,3.858474771890482
发牢骚,生气,3.1624235431237877
发毛,生气,4.93447649583151
发怒,生气,6.970396454618658
发脾气,生气,4.596774989085359
发飙,生气,4.9806311061572845
烦,生气,0.483802027704586
烦愁,生气,8.751594132634924
烦闷,生气,4.630307855410093
烦恼,生气,4.042574488167032
烦腻,生气,2.8688243164734155
烦扰,生气,2.5702936577937554
烦神,生气,0.7329296682159652
烦厌,生气,1.034482597817735
烦忧,生气,5.128971830606069
烦躁,生气,3.6539911673687264
忿忿,生气,4.395412922254705
忿忿不平,生气,2.6851343325489108
忿忿然,生气,6.186883278852657
忿恨,生气,8.503880926106405
忿怒,生气,1.9593788131704342
忿恚,生气,3.133668313086498
忿懑,生气,1.6100177006200003
愤愤,生气,6.872070824255081
愤愤不平,生气,2.1841497516366486
愤愤然,生气,0.4219665011068612
愤恨,生气,4.322423886642155
愤怒,生气,3.7042050551029346
愤世嫉俗,生气,-0.10071805935184663
愤懑,生气,4.83834643992003
讽,生气,4.352203018738741
讽刺,生气,8.061377411609895
怪,生气,4.787319729277317
怪罪,生气,3.350714464038321
含愤,生气,4.979403882434319
含恨,生气,1.5828753645463154
含怒,生气,5.402725811942641
呵,生气,6.012481923978043
呵斥,生气,5.768839198360325
呵责,生气,3.382338675540262
呵叱,生气,0.24505688103440804
喝斥,生气,4.460736528289778
喝叱,生气,1.458200046742948
红脸,生气,2.337753312732413
红眼,生气,2.2203634023561376
猴儿急,生气,1.4143537374321635
怀恨,生气,1.3161507059010735
怀恨在心,生气,3.8444790973287866
怀疑,生气,3.524640793110316
坏情,生气,3.8797654177488763
虎着脸,生气,2.130969382190994
火急火燎,生气,5.479242991814697
火冒三丈,生气,4.171915638990919
激愤,生气,1.7669990809443221
急死,生气,5.879102002705719
急眼,生气,2.992235566978005
教训,生气,4.8347641674998405
叫骂,生气,4.345715779838877
叫嚣,生气,2.0783416126374004
苛察,生气,2.0379943659519704
苛责,生气,2.3223806711657637
口诛笔伐,生气,4.704490859961543
狂怒,生气,6.730853970100774
来火,生气,2.827045157949187
来气,生气,5.879089628868725
老羞成怒,生气,6.2308586696735535
冷嘲热讽,生气,2.1894944870606343
骂,生气,4.7501612629874845
骂不绝口,生气,3.614924222853536
骂大街,生气,0.26911758880815784
骂得狗血淋头,生气,2.653383407363083
骂得狗血喷头,生气,2.690576808215278
骂街,生气,2.0411192071880246
骂骂咧咧,生气,3.100323269055662
骂娘,生气,2.973287556529482
骂人,生气,6.736951448841177
面有愧色,生气,5.06519453001204
面有难色,生气,5.676410739689331
面有愠色,生气,4.012836311517758
民怨沸腾,生气,5.930881974836186
恼,生气,4.34575303834654
恼恨,生气,3.314567033820957
恼火,生气,0.34653128276710854
恼怒,生气,2.3333323585112793
恼羞成怒,生气,8.888289768627805
闹脾气,生气,4.4741952497950725
