词语,情感分类,强度
原谅,快乐,2.2644196671819836
饶,快乐,3.72365196099285
饶人,快乐,9.566384504774277
饶恕,快乐,3.5441822473368005
解气,快乐,4.385068152560076
噲,快乐,2.8771148851029267
媢,快乐,3.7505838286889333
媢嫉,快乐,6.254275634717557
忺,快乐,3.734025225142987
爱,快乐,6.10889871547394
爱不忍释,快乐,6.441014159164116
爱不释手,快乐,4.691425356757017
爱宠,快乐,5.489616192245283
爱戴,快乐,7.627603641158485
爱抚,快乐,2.12913018997546
爱好,快乐,5.431773424184286
爱护,快乐,2.644972990779549
爱怜,快乐,2.9465001214953226
爱恋,快乐,3.1500935460427604
爱慕,快乐,4.270081178542233
爱上,快乐,7.934318123960403
爱屋及乌,快乐,4.111787493494862
爱惜,快乐,5.50940902798083
安,快乐,3.962731945098872
昂扬,快乐,7.20358033763784
巴,快乐,4.4176613043988935
巴不得,快乐,5.9983815372906975
巴望,快乐,4.356817860795526
摆好,快乐,3.1164066123746403
拜,快乐,5.159846152740366
拜拜,快乐,2.451398222346742
拜服,快乐,8.15991598912558
拜贺,快乐,2.549813860537729
拜谒,快乐,1.2486134499455956
褒,快乐,4.885756785194436
褒奖,快乐,5.630124361029202
褒扬,快乐,6.108016752539211
睎,快乐,4.1564969606095765
表扬,快乐,4.218041247601774
表彰,快乐,5.368925610620217
并重,快乐,8.113478072769919
补台,快乐,5.018697272401714
不看僧面看佛面,快乐,8.723554004537242
不愧,快乐,6.4162217000809445
不胜欣忭,快乐,4.2440066075930085
不惜,快乐,1.448919153458999
不厌,快乐,2.3807937967083834
睬,快乐,2.7001481224590576
采纳,快乐,2.6494616955341908
参拜,快乐,4.610933948141133
参谒,快乐,4.694440307109115
侧重,快乐,3.84966946857165
馋,快乐,3.9050037303123957
畅快,快乐,6.825631058578408
唱喏,快乐,6.866957064924973
倡,快乐,4.476696404333922
朝拜,快乐,3.7190997720873122
朝思暮想,快乐,7.515028571353803
撑台面,快乐,1.6171440254770695
撑腰,快乐,5.844789023454711
称,快乐,4.785242958656584
称道,快乐,4.382995271311851
称快,快乐,5.846750019744166
称赏,快乐,6.045112320279775
称颂,快乐,2.3359309907674444
称叹,快乐,6.022682798779877
称羡,快乐,5.896172854457232
称谢,快乐,3.177585177752664
称心,快乐,4.90765282256695
称心如意,快乐,7.335782796229096
称心如愿,快乐,-1.7385586821254222
称许,快乐,2.604834727773758
称誉,快乐,4.195124991673144
称愿,快乐,4.409171180799235
称赞,快乐,5.393200192072921
承,快乐,2.5591441096971774
承蒙,快乐,0.7808474175809224
承情,快乐,5.750840951888857
承望,快乐,3.97357601335833
承应,快乐,7.809830891916365
骋怀,快乐,7.38042303656248
吃醋,快乐,4.275005677907663
痴,快乐,5.676537387475525
痴恋,快乐,-1.7937101305398278
痴迷,快乐,1.8923096737962761
痴情,快乐,7.944387003230606
痴心不改,快乐,-0.2638686173787308
痴心妄想,快乐,2.6783319513583788
驰念,快乐,3.1789232131162173
驰思,快乐,3.5293182029217056
崇,快乐,5.015461786880642
崇拜,快乐,5.5135996681079895
崇敬,快乐,4.135011288383419
崇尚,快乐,3.282853798459852
崇仰,快乐,4.542451530978764
宠,快乐,4.974826400141866
