词语,情感分类,强度
侻,喜欢,1.0061202871755772
俶傥,喜欢,4.0925627437126515
僄,喜欢,3.357465273978557
劼,喜欢,3.4269739902008385
嫕,喜欢,4.7588243071922225
惇,喜欢,5.569553060697286
惓惓,喜欢,6.558737656084228
會,喜欢,3.9059625778930336
牣,喜欢,3.9283337287299305
皞,喜欢,5.463318807124047
挨边,喜欢,6.413229839316307
哀婉,喜欢,2.3981444394214284
哀艳,喜欢,4.412484415304745
蔼,喜欢,1.4390452741224458
蔼蔼,喜欢,5.152050046970485
蔼然,喜欢,4.296416569102947
蔼然可亲,喜欢,3.656518265642627
蔼如,喜欢,4.516119093454236
艾,喜欢,4.713642801757661
碍事,喜欢,2.927932060875351
安,喜欢,6.016912133198234
安安静静,喜欢,6.403621787741734
安安稳稳,喜欢,6.174186614332343
安定,喜欢,5.340049259649655
安顿,喜欢,2.125591324803234
安分,喜欢,3.8922043595956914
安好,喜欢,2.6503475885418606
安静,喜欢,2.650996194344978
安康,喜欢,2.0640556094244813
安澜,喜欢,2.101553779048923
安乐,喜欢,5.796016116272892
安宁,喜欢,4.002990709001201
安全,喜欢,2.887362489156663
安然,喜欢,4.926320799861735
安然无事,喜欢,4.69088595447073
安然无恙,喜欢,1.2601481767911902
安如磐石,喜欢,5.76248753448552
安如泰山,喜欢,6.676984711040131
安生,喜欢,4.1876852055718485
安适,喜欢,5.541035594931308
安泰,喜欢,6.231892288766593
安恬,喜欢,3.1844112526098454
安稳,喜欢,5.729184568453708
安详,喜欢,5.38445518895803
安逸,喜欢,3.403520811613601
安谧,喜欢,7.0405442200133574
按期,喜欢,3.376125319912746
按时,喜欢,5.4143443304994125
昂昂,喜欢,2.535653775043416
昂藏,喜欢,5.254393786858419
昂然,喜欢,2.173357617446384
傲然,喜欢,7.5264522715973285
奥,喜欢,5.668982690860309
奥博,喜欢,1.1984113133823482
奥妙,喜欢,0.24739405218609312
巴结,喜欢,5.169276328599072
拔尖,喜欢,2.7191374397011288
拔尖儿,喜欢,4.366342966539224
拔俗,喜欢,5.46753351325262
把牢,喜欢,1.1565121079972362
把稳,喜欢,2.9475736781927973
把细,喜欢,2.65424458286411
白,喜欢,-1.5193127678577216
白纸黑字,喜欢,1.3503418539409737
百不一失,喜欢,2.328960434424775
百读不厌,喜欢,4.895788461576419
百废俱兴,喜欢,7.894406379599042
百里挑一,喜欢,5.150834961354542
百炼成钢,喜欢,3.109226977237592
百听不厌,喜欢,3.2095085704583313
百无一失,喜欢,3.0447206692427358
百依百顺,喜欢,0.6636258227558951
百折不回,喜欢,3.631857790584008
百折不挠,喜欢,3.7521775562837654
百折不挠地,喜欢,4.163221203274562
板板正正,喜欢,5.6307366634745755
板实,喜欢,5.499717018691048
板正,喜欢,2.760864816916106
半公开,喜欢,0.04788404784876832
半透明,喜欢,5.249968404870882
膀大腰圆,喜欢,3.8705825888262604
膀阔腰圆,喜欢,1.7787430580219104
棒,喜欢,0.9407736127967552
磅礴,喜欢,6.499124175257805
苞,喜欢,5.13016492098347
睆,喜欢,4.253193231995731
保存良好,喜欢,3.857879217953492
保皇,喜欢,7.551453598456085
保险,喜欢,5.7051475349723795
保准,喜欢,2.4794592745389483
饱学,喜欢,5.26036509870163
宝,喜欢,0.9513654214266323
宝贵,喜欢,3.0402572078884473
悲壮,喜欢,-1.6247605734652844
卑,喜欢,4.289742494068499
倍儿棒,喜欢,5.270015470151584
备细,喜欢,4.51451434691319
奔放,喜欢,5.473071083615429
本质,喜欢,2.5634681578232907
笨鸟先飞,喜欢,2.456946789730849
逼真,喜欢,2.076959353444133
笔挺,喜欢,7.742437778368233
笔直,喜欢,1.5196718987386135
毕恭毕敬,喜欢,3.559453613873103
毖,喜欢,4.683041146919373
闭月羞花,喜欢,3.0678689465275912
必备,喜欢,2.7761181740070766
必不可少,喜欢,5.505304354126968
必需,喜欢,0.9440182442406773
必要,喜欢,8.298307780306594
辟,喜欢,3.7393347393032235
鞭辟近里,喜欢,4.482844774002189
鞭辟入里,喜欢,4.481848979121442
便,喜欢,2.7347969905803393
便当,喜欢,6.299811701602434
便捷,喜欢,5.551806964095828
便利,喜欢,3.7977548744682053
便民,喜欢,5.944758419657386
便宜,喜欢,5.877228919466317
变通,喜欢,2.3431352513146626
辩证,喜欢,4.81480370593485
标定,喜欢,2.545027647842599
标致,喜欢,5.641966834183203
标准,喜欢,4.630134633833862
彪炳,喜欢,1.8811438207762228
彪炳千古,喜欢,3.515114485797665
彪炳史册,喜欢,5.057189756742638
彪悍,喜欢,2.318770632429344
彪形,喜欢,1.4119354250413205
彪壮,喜欢,4.703024552713618
表观,喜欢,4.019621842288401
表里如一,喜欢,3.9841703493879796
表里一致,喜欢,4.712164208759471
别具匠心,喜欢,4.301770977939414
别具一格,喜欢,3.720273159342686
别开生面,喜欢,4.595068696664674
别有风味,喜欢,3.531198625496513
别有情趣,喜欢,3.09440374622903
彬,喜欢,8.733889883489748
彬彬,喜欢,3.3829106999964664
彬彬有礼,喜欢,4.968846269843197
斌,喜欢,-0.2581113030969595
兵强马壮,喜欢,6.636314879863183
冰肌玉骨,喜欢,3.161649714175659
冰清玉洁,喜欢,1.9452260724716068
冰雪聪明,喜欢,5.187380470201048
秉持公正,喜欢,4.819554372629682
秉公,喜欢,0.19290656247771842
秉正,喜欢,4.175286601256176
秉直,喜欢,7.160516231152976
炳,喜欢,7.5980762247634654
并茂,喜欢,1.844568996865052
波光粼粼,喜欢,4.936948785585951
波澜壮阔,喜欢,4.04854085467706
博大,喜欢,4.0009767358850095
博大精深,喜欢,4.861524565699654
博古通今,喜欢,3.782796155340378
博识,喜欢,3.256866035062076
博闻,喜欢,4.911021962899362
博闻广识,喜欢,4.340009143078331
博闻强记,喜欢,2.714806587562798
博学,喜欢,3.119961651213073
博学多才,喜欢,3.391525843945594
博学多能,喜欢,1.73527043009538
博学多闻,喜欢,6.324555560877634
博雅,喜欢,6.847312127452199
勃,喜欢,3.489857712830386
勃勃,喜欢,3.8689159917030658
勃勃生机,喜欢,2.3511378213928324
不卑不亢,喜欢,3.1389122134486174
不变,喜欢,4.705843924274852
不耻下问,喜欢,5.985779149441132
不错,喜欢,1.7207962161389556
不大不小,喜欢,2.2068786038269854
不大离儿,喜欢,4.315748825366161
不惮其烦,喜欢,4.437118744332006
不动摇,喜欢,5.307215146207191
不费吹灰之力,喜欢,0.9706715736941574
不费力,喜欢,2.22016139160721
不苟,喜欢,4.99714730847443
不苟言笑,喜欢,5.270143401582439
不含糊,喜欢,1.634233795669651
不会腐败,喜欢,5.866392928695776
不会弄错,喜欢,5.693030027834448
不加区别,喜欢,3.429449680609793
不加掩饰,喜欢,5.099633526688326
不加渲染,喜欢,5.4440717692441
不简单,喜欢,3.826682933328707
不骄不躁,喜欢,1.8810418016043258
不咎既往,喜欢,6.3242512947943945
不亢不卑,喜欢,5.753561998966896
不可或缺,喜欢,4.581002282821964
不可缺,喜欢,2.8581559075209864
不可缺少,喜欢,3.898489581729987
不赖,喜欢,1.308035645974425
不离儿,喜欢,2.9996230037168266
不落俗套,喜欢,6.738682116863481
