词语,情感分类,强度
僄,讨厌,3.74145006151388
啰啰唆唆,讨厌,3.179961589326283
啰啰嗦嗦,讨厌,2.7968487227670984
啰里啰唆,讨厌,2.4322711099352814
啰里啰嗦,讨厌,8.228051715994258
啰唆,讨厌,2.778294250013346
啰嗦,讨厌,3.613395605908251
噲,讨厌,5.506963654667144
奓着头发,讨厌,5.800516332575435
婞,讨厌,-0.7377626930836332
婞直,讨厌,4.709090349465331
崒,讨厌,5.743237443045045
弇陋,讨厌,5.904373406096523
惛,讨厌,5.368332975594692
惼,讨厌,7.1718600662775716
梼昧,讨厌,4.976930787742833
獪,讨厌,5.656700266038305
瘆,讨厌,5.425258791901628
瘆得慌,讨厌,2.8299570292722382
矮,讨厌,4.312971822506554
碍难,讨厌,4.091799994878711
碍眼,讨厌,8.909591719564938
爱搭不理,讨厌,8.76737119319968
爱理不理,讨厌,6.50771331467924
暗,讨厌,4.616259939491539
暗暗,讨厌,3.4943993151133244
暗沉沉,讨厌,8.183659690068204
暗淡,讨厌,3.6513084855542552
暗地,讨厌,7.006698323098846
暗地里,讨厌,5.616386637917062
暗黑,讨厌,5.524713847415079
暗里,讨厌,2.3095540888347594
暗昧,讨厌,2.327147836539849
暗弱,讨厌,5.3680907530758315
暗无天日,讨厌,1.9030384419561779
暗下,讨厌,4.798211496508675
暗中,讨厌,4.860541584916251
暗自,讨厌,4.008547933219714
暗朦,讨厌,4.351044720327226
岸然,讨厌,4.163913739586041
肮里肮脏,讨厌,3.0266192441538124
肮脏,讨厌,5.828752948219384
昂贵,讨厌,4.53612835536963
凹凸,讨厌,0.4396306037940385
凹凸不平,讨厌,6.512160000384512
傲,讨厌,2.7331278042158544
傲岸,讨厌,3.957279935807258
傲慢,讨厌,2.97703494344724
八面玲珑,讨厌,1.9673252982144027
跋扈,讨厌,3.9066624210826033
霸道,讨厌,1.7727389812635717
霸气,讨厌,3.410094284174436
白,讨厌,4.3528151530732035
白白,讨厌,3.002708432523965
白痴般,讨厌,6.791221205497599
白搭,讨厌,2.435339464860489
白忙,讨厌,2.113841907386448
白忙活儿,讨厌,4.628197929568995
白衣苍狗,讨厌,1.7402553967619996
白云苍狗,讨厌,4.575843421775058
百孔千疮,讨厌,4.770846348481982
败坏,讨厌,4.247697596057943
稗,讨厌,1.5979969628100203
板,讨厌,4.5237938691215795
板板六十四,讨厌,5.466373610175548
板滞,讨厌,6.638714557156089
半半拉拉,讨厌,6.718871231801803
半路出家,讨厌,3.83164670763781
半新不旧,讨厌,7.450347345785856
半真半假,讨厌,5.906150997431519
薄,讨厌,1.4472180586441472
薄情,讨厌,2.782052987954427
薄弱,讨厌,6.065813661504034
薄幸,讨厌,4.36442418366979
保残守缺,讨厌,2.9071282652999155
保守,讨厌,2.261039216332062
抱残守缺,讨厌,1.921617126183584
卑,讨厌,0.6389925383438424
卑鄙,讨厌,6.216603132995072
卑鄙无耻,讨厌,0.6681162008549344
卑贱,讨厌,5.821236552831768
