词语,情感分类,强度
诧异,惊讶,5.883957864127693
诧愕,惊讶,6.646511942990255
惊奇,惊讶,2.995796555731399
惊奇不已,惊讶,5.1090223444311
惊叹,惊讶,4.804001520327287
惊讶,惊讶,5.703065403571593
惊疑,惊讶,-0.04896481699992261
惊异,惊讶,0.6148961323896431
惊呆,惊讶,4.732179066028711
错愕,惊讶,3.4569633815099676
目瞪口呆,惊讶,3.4067074170760714
讶,惊讶,8.261630929150144
讶然,惊讶,2.4770264875119725
讶然失色,惊讶,7.309431950525731
讶异,惊讶,3.80448489431454
怔,惊讶,0.8943704030185673
怔神儿,惊讶,0.10182572800985623
怔怔,惊讶,4.527875107105871
怔住,惊讶,1.507980382042124
怔忪,惊讶,3.5882763989762445
出神,惊讶,1.6059161536274882
打问号,惊讶,5.789748212042408
大吃一惊,惊讶,1.9057329856120306
张口结舌,惊讶,3.1946228110140105
震,惊讶,3.2620576194522983
震惊,惊讶,5.481163408576005
嘎,惊讶,-1.2049783056432046
