词语,情感分类,强度
怖,害怕,1.6811523943113027
不寒而栗,害怕,2.412981230288289
惊,害怕,7.351553794280172
惊怖,害怕,5.4654515596859845
惊诧,害怕,4.803258606482766
惊怪,害怕,0.5981941120624135
惊骇,害怕,1.919170187362918
惊慌,害怕,4.468705789469602
惊慌失措,害怕,1.3949588664341963
惊惶,害怕,3.826558628462971
惊惧,害怕,5.63578083380585
惊恐,害怕,5.3187459948562505
惊怕,害怕,6.538487984129109
惊悚,害怕,2.2512505507395724
惊愕,害怕,0.09337448030058093
诚惶诚恐,害怕,1.5573337604455513
骇然失色,害怕,4.178507455829311
惶,害怕,2.79235541417736
惶惶,害怕,1.3945277855587372
惶惶不安,害怕,6.342990662252399
惶惶不可终日,害怕,3.7785949200412903
惶惶然,害怕,-1.343595761085556
惶惑,害怕,6.083374512257516
惶惧,害怕,3.8294635832949497
惶恐,害怕,5.932741598316092
惶恐不安,害怕,2.897749061187853
惶然,害怕,3.3611520934785224
惶然不安,害怕,4.644171269514512
惶悚,害怕,4.8437764666002625
惶遽,害怕,6.071431953265975
恐,害怕,2.068072978572016
恐慌,害怕,3.386473103906176
恐惧,害怕,4.3444572309001455
毛骨悚然,害怕,3.041290631683613
怕,害怕,4.2460087609862205
怕生,害怕,5.493106987771951
怕羞,害怕,5.290503894594791
畏,害怕,2.1381532963845897
畏忌,害怕,4.133487627005703
畏惧,害怕,-0.3206559836349703
畏葸,害怕,4.005873787589455
闻风丧胆,害怕,3.4870001478535047
打怵,害怕,5.269626181356928
打憷,害怕,5.254237752970795
大惊失色,害怕,3.4698901377896827
胆颤心惊,害怕,4.964668941119093
胆寒,害怕,3.733335265010885
胆战心惊,害怕,6.783184578524242
发怵,害怕,3.023322300906388
发愣,害怕,4.25349252639688
发憷,害怕,0.23075190318229621
犯憷,害怕,3.4137560026843072
犯怵,害怕,4.896876076705579
害怕,害怕,7.151983867969659
害羞,害怕,6.921623312860724
害臊,害怕,2.6887666380694673
骇,害怕,5.271490022858897
骇怪,害怕,2.955092697922355
骇惧,害怕,3.8908083746826545
骇怕,害怕,2.782803470263167
骇异,害怕,4.593036160336677
骇愕,害怕,3.763039395648506
后怕,害怕,3.336421964890362
慌恐,害怕,9.082041392856105
皇皇,害怕,4.2310843875253195
魂不附体,害怕,3.779320405515463
魂飞魄散,害怕,1.8561818208454994
魂飞天外,害怕,2.618496982967199
惧,害怕,3.596395655191273
惧怕,害怕,8.293074370613267
屁滚尿流,害怕,1.7114887787210837
谈虎色变,害怕,1.5251748662667364
提心吊胆,害怕,4.536308414287747
心惊胆颤,害怕,4.080845531700702
心惊胆战,害怕,6.083895820579759
心惊肉跳,害怕,3.4552585703596153
震悚,害怕,7.120230563933881
怵然,害怕,4.178815863355064
怵头,害怕,2.9775848650090424
悚,害怕,4.287954926837725
悚然,害怕,3.3749987619710375
颤颤巍巍,害怕,3.391866896290918
颤颤悠悠,害怕,4.389144188505038
颤巍巍,害怕,4.43903791150961
恐怖,害怕,3.5045399805309962
怯,害怕,3.840318477728025
怯懦,害怕,3.8097002199244607
怯然,害怕,2.665778468820804
怯弱,害怕,5.995265181857978
怯生生,害怕,4.171122490390424
